Title,Company,Salary
Digital Marketing Specialist,Metron Security Private Limited,₹  3 - 5 LPA
Business Analyst,Arth Venture Partners,₹  2 - 3 LPA
Junior Business Analyst,Singularium Technologies Private Limited,₹  5 - 7 LPA
Associate Data Scientist,Softsensor.ai,₹  4 - 6 LPA
Business Analyst - Non-IT,Unlimited Unnati,₹  3 - 4 LPA
Data Scientist,BlobCity,₹  3.6 LPA
Operation Assistant Manager,Mas Callnet India Private Limited,₹  4 - 8 LPA
Data Scientist,Areete Business Solutions,₹  3 LPA
Agronomist,Prudent Systems Private Limited,₹  2 - 2.5 LPA
Business Development Associate,TalentXO,₹  4.5 - 9 LPA
Data Science & Machine Learning Trainer,Mentorrbuddy,₹  2 LPA
Business Development Executive,Wifi Learning,₹  2 - 3 LPA
MIS Specialist,Courtyard Farms,₹  2 - 3 LPA
Assistant Marketing Manager,Citicap Channels Limited,₹  2.25 - 2.4 LPA
OMNI SPORT LEADER,Decathlon Sports India,₹  3 - 3.5 LPA
TECHNICAL CONTENT WRITER,Fornax,₹  3.5 - 4 LPA
IT Data Center Operations Associate,StudyMonk,₹  4 - 6 LPA
Quality Assurance Analyst,StudyMonk,₹  4 - 6 LPA
Data Engineer,StudyMonk,₹  4 - 6 LPA
Trainee - Customer Success Tech Specialist,Mobileware Technologies Private Limited,₹  3 - 3.5 LPA
Trainee Business Process Transformation Engineer,Mobileware Technologies Private Limited,₹  3 - 3.5 LPA
Product Manager,Twango,₹  3 - 4 LPA
Research Analyst,TheCoinRepublic,₹  2 - 4 LPA
Market Trader,TheCoinRepublic,₹  2 - 4 LPA
Market Analyst,TheCoinRepublic,₹  2 - 5 LPA
Data Analyst,Vindiata Consulting Private Limited,₹  3.5 - 4.5 LPA
Data Analytics Associate,Medius Technologies Private Limited,₹  2 - 3 LPA
Energy Consultant (Data Analyst),RTI International,₹  5 - 6 LPA
Marketing Associate,NirogStreet,₹  2 - 3.5 LPA
Business Development Associate,NirogStreet,₹  2 - 3.2 LPA
Data Analytics Associate,Softin System Private Limited,₹  7.5 - 8 LPA
Data Analyst,Futurlytic Private Limited,₹  4.5 - 5.5 LPA
Program Manager,Involve Learning Solutions Foundation,₹  6 - 8 LPA
